Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Login Page Kasir Aja/input_password_password""), """")",Chrome 115.0.0.0,,,2023-07-29 08:46:18,2023-07-29 08:46:19,1.588s,PASSED
"click(findTestObject(""Object Repository/Login Page Kasir Aja/button_login""))",Chrome 115.0.0.0,,,2023-07-29 08:46:19,2023-07-29 08:46:20,0.849s,PASSED
"verifyElementPresent(findTestObject(""Login Page Kasir Aja/Verify/div_password is not allowed to be empty""), 0)",Chrome 115.0.0.0,,,2023-07-29 08:46:20,2023-07-29 08:46:21,0.775s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-29 08:46:21,2023-07-29 08:46:22,1.081s,PASSED
,,,,,,,
Test Cases/Login/Login_TC006,Chrome 115.0.0.0,Login with empty username and password,,2023-07-29 08:46:22,2023-07-29 08:46:37,15.309s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-29 08:46:23,2023-07-29 08:46:25,2.163s,PASSED
"navigateToUrl(""http://kasirdemo.belajarqa.com"")",Chrome 115.0.0.0,,,2023-07-29 08:46:25,2023-07-29 08:46:26,1.460s,PASSED
"setText(findTestObject(""Object Repository/Login Page Kasir Aja/input_email_email""), """")",Chrome 115.0.0.0,,,2023-07-29 08:46:26,2023-07-29 08:46:28,1.725s,PASSED
"setText(findTestObject(""Object Repository/Login Page Kasir Aja/input_password_password""), """")",Chrome 115.0.0.0,,,2023-07-29 08:46:28,2023-07-29 08:46:29,1.205s,PASSED
"click(findTestObject(""Object Repository/Login Page Kasir Aja/button_login""))",Chrome 115.0.0.0,,,2023-07-29 08:46:29,2023-07-29 08:46:30,0.843s,PASSED
"verifyElementPresent(findTestObject(""Login Page Kasir Aja/Verify/div_email and password are not allowed to be empty""), 5)",Chrome 115.0.0.0,,,2023-07-29 08:46:30,2023-07-29 08:46:37,7.062s,FAILED
